Código;Nombre;Medidas;Imagen;Categoría;;
00001;Cerámica Calcáreo Gris;56x56;calcareo_gris.jpeg;lourdes;;
00002;Cerámica Travertino Marfil;56x56;travertino_marfil.jpeg;lourdes;;
00003;Cerámica Carrara Brillante;56x56;carrara_brillante.jpeg;lourdes;;
00004;Cerámica Cotto Gris;56x56;cotto_gris.jpeg;lourdes;;
00005;Cerámica Eucalipto Marrón;56x56;eucalipto_marron.jpeg;lourdes;;
00006;Cerámica Eucalipto Beige;56x56;eucalipto_beige.jpeg;lourdes;;
00007;Cerámica Eucalipto Gris;56x56;eucalipto_gris.jpeg;lourdes;;
00008;Cerámica Castaño Beige;18x56;castaño_beige.jpeg;lourdes;;
00009;Cerámica Madera Fresno;18x56;fresno.jpeg;lourdes;;
00010;Cerámica Yunga Beige;18x56;yunga_beige.jpeg;lourdes;;
00011;Cerámica Acacia Marrón;18x56;acacia_marron.jpeg;lourdes;;
00012;Cerámica Madera Entramada Marrón;35x35;entramada_marron.jpeg;lourdes;;
00013;Cerámica Porfido Marrón;35x35;porfido_marron.jpeg;lourdes;;
00014;Cerámica Cotto Gris;35x35;cotto_gris_chica.jpeg;lourdes;;
00015;Cerámica Cotto Marfil;35x35;cotto_marfil.jpeg;lourdes;;
00016;Cerámica Cotto Terra;35x35;cotto_terra.jpeg;lourdes;;
00017;Cerámica Travertino Plus Gris;35x35;travertino_plus_gris.jpeg;lourdes;;
00018;Cerámica Negro Plus;35x35;negro_plus.jpeg;lourdes;;
00019;Cerámica Raíz de Nogal;35x35;raiz_de_nogal.jpeg;lourdes;;
00020;Revestimiento Castor Gris;35x35;castor_gris.jpeg;lourdes;;
00021;Muro Piedra Petróleo;35x35;piedra_petroleo.jpeg;lourdes;;
00022;Muro Piedra Natural;31x53;piedra_natural.jpeg;lourdes;;
00023;Muro Travertino;31x53;muro_travertino.jpeg;lourdes;;
00024;Revestimiento Nieve Brillante;31x53;nieve_brillante.jpeg;lourdes;;
00025;Revestimiento Subway Blanco;31x53;subway_blanco.jpeg;lourdes;;
00026;Revestimiento Subway Carrara;31x53;subway_carrara.jpeg;lourdes;;
00027;Revestimiento Subway Negro;31x53;subway_negro.jpeg;lourdes;;
00028;Revestimiento Venecita Blanca;31x53;venecita_blanca.jpeg;lourdes;;
00029;Revestimiento Venecita Gris;31x53;venecita_gris.jpeg;lourdes;;
00030;Revestimiento Venecita Terra;31x53;venecita_terra.jpeg;lourdes;;
00031;Revestimiento Carrara Brillante;31x53;rev_carrara_brillante.jpeg;lourdes;;
00032;Revestimiento Cerámica Calipso Gris ;31x53;calipso_gris.jpeg;lourdes;;
00033;Cerámica Madera Lenga Blanca;31x53;lenga_blanca.jpeg;lourdes;;
00034;Cerámica Madera Lenga;31x53;madera_lenga.jpeg;lourdes;;
00035;Cerámica Madera Lenga Gris;31x53;madera_lenga_gris.jpeg;lourdes;;
00036;Cerámica Rev. Montecarlo Blanca ;25x35;montecarlo_blanca.jpeg;lourdes;;
00037;Cerámica Clásica Curado a Fuego;43x43;cuadro_a_fuego.jpeg;salteña;;
00038;Cerámica Clásico Cotto Rojo;43x43;cotto_rojo.jpeg;salteña;;
00039;Ceramica Calacatta Brillante;43x43;calacatta_brillante.jpeg;salteña;;
00040;Ceramica San Antonio Arena;43x43;san_antonio_arena.jpeg;salteña;;
00041;Ceramica Cachi Arena Brillante;43x43;cachi_arena_brillante.jpeg;salteña;;
00042;Ceramica Capri Mix;43x43;capri_mix.jpeg;salteña;;
00043;Cerámica Capri Blú;43x43;capri_blu.jpeg;salteña;;
00044;Cerámica Algarrobo Natural;43x43;algarrobo_natural.jpeg;salteña;;
00045;Cerámica San Luis Beige;43x43;san_luis_beige.jpeg;salteña;;
00046;Cerámica Cuarzo Tiza;36x36;cuarzo_tiza.jpeg;salteña;;
00047;Cerámica Cuarzo Noche;36x36;cuarzo_noche.jpeg;salteña;;
00048;Cerámica Tastil Blanco;36x36;tastil_blanco.jpeg;salteña;;
00049;Cerámica Clásica Curado a Fuego;36x36;cuadro_a_fuego_peq.jpeg;salteña;;
00050;Cerámica Quina Rojiza;36x36;quina_rojiza.jpeg;salteña;;
00051;Porcelanato Patagonico Arena;53x53;patagonico_arena.jpeg;sanpietro;;
00052;Porcelanato Patagonico Mercurio;53x53;patagonico_mercurio.jpeg;sanpietro;;
00053;Porcelanato Pietra Borgoña;53x53;pietra_borgoña.jpeg;sanpietro;;
00054;Porcelanato Verona Gris;53x53;verona_gris.jpeg;sanpietro;;
00055;Porcelanato Ónix Gris;53x53;onix_gris.jpeg;sanpietro;;
00056;Porcelanato Calipso Gris;53x53;porc_calipso_gris.jpeg;sanpietro;;
00057;Porcelanato Calacata Gold;53x53;calacata_gold.jpeg;sanpietro;;
00058;Porcelanato Cemento Gris;53x53;porc_cemento_gris.jpeg;sanpietro;;
00059;Porcelanato Folks Beige;53x53;folks_beige.jpeg;sanpietro;;
00060;Porcelanato Kairo Beige ;53x53;kairo_beige.jpeg;sanpietro;;
00061;Porcelanato Gloria Gris ;53x53;gloria_gris.jpeg;sanpietro;;
00062;Porcelanato Mármol Carrera Brillante;53x53;marmol_carrera_brillante.jpeg;sanpietro;;
00063;Porcelanato Cemento Gris ;80x80;porc_cemento_gris.jpeg;sanpietro;;
00064;Porcelanato Oxido Terra ;80x160;oxido_terra.jpeg;sanpietro;;
00065;Porcelanato Concreto Gris;80x160;concreto_gris.jpeg;sanpietro;;
00066;Porcelanato Madera Vintage;22x160;madera_vintage.jpeg;sanpietro;;
00067;Porcelanato Dakota Marrón;22x160;dakota_marron.jpeg;sanpietro;;
00068;Porcelanato Chalten Ivory;22x160;chalten_ivory.jpeg;sanpietro;;
00069;Cerámica Flower White ;45x45;flower_white.jpeg;sanlorenzo;;
00070;Cerámica Berta Mixtura;45x45;berta_mixtura.jpeg;sanlorenzo;;
00071;Porcelanato Turia Arena;58x58;turia_arena.jpeg;sanlorenzo;;
00072;Porcelanato Cantabria Botánico;58x58;cantabria_botanico.jpeg;sanlorenzo;;
00073;Porcelanato Blau;58x58;porc_blau.jpeg;sanlorenzo;;
00074;Porcelanato Clover Antideslizante;58x58;clover_antideslizante.jpeg;sanlorenzo;;
00075;Porcelanato Terraferma Arena;58x58;terraferma_arena.jpeg;sanlorenzo;;
00076;Tendenza Fossil Porcelanato;58x58;fossil_porcelanato.jpeg;sanlorenzo;;
00077;Embramaco Savana Brasilero;58x58;savana_brasilero.jpeg;sanlorenzo;;
00078;Cerámica Scop Lutecia;45,3x45,3;scop_lutecia.jpeg;sanlorenzo;;
00079;Cerámica Scop Adoquín;45,3x45x3;scop_adoquin.jpeg;sanlorenzo;;
00080;Porcelanato Taco Cantabria;58x58;taco_cantabria.jpeg;sanlorenzo;;
00081;Mendoza Pulido Rectificado;62x62;pulido_rectificado.jpeg;importados;ELIZABETH;
00082;Criciuma Madera Rect;19,7x120;madera_rect.jpeg;importados;ELIZABETH;
00083;Concret Pulido Rectificado;60x60;concret_pulido.jpeg;importados;ELIZABETH;
00084;Portoro;62,5x125;portoro.jpeg;importados;ELIZABETH;
00085;Statutario Venato;62x125;venato.jpeg;importados;ELIZABETH;
00086;Zement Offwhite Acetinado Rect;62,5x62,5;offwhite_acetinado.jpeg;importados;ELIZABETH;
